tbl,col,type,rows,non_null,null_pct
sys_blueprint_variants,blueprint_variant_metadata,jsonb,1,1,0.0
sys_blueprint_variants,created_at,timestamp with time zone,1,1,0.0
sys_blueprint_variants,updated_at,timestamp with time zone,1,1,0.0
sys_bonus_pools,bonus_pool_id,uuid,6,6,0.0
sys_bonus_pools,bonus_pool_tenant_id,uuid,6,6,0.0
sys_bonus_pools,bonus_pool_scope,character varying,6,6,0.0
sys_bonus_pools,bonus_pool_organization_unit_id,uuid,6,0,100.0
sys_bonus_pools,bonus_pool_period_start,date,6,6,0.0
sys_bonus_pools,bonus_pool_period_end,date,6,6,0.0
sys_bonus_pools,bonus_pool_total_eur,numeric,6,6,0.0
sys_bonus_pools,bonus_pool_payload,jsonb,6,6,0.0
sys_bonus_pools,created_at,timestamp with time zone,6,6,0.0
sys_bonus_pools,updated_at,timestamp with time zone,6,6,0.0
sys_branches,branch_id,uuid,6,6,0.0
sys_branches,branch_organization_unit_id,uuid,6,6,0.0
sys_branches,branch_tenant_id,uuid,6,6,0.0
sys_branches,branch_code,character varying,6,6,0.0
sys_branches,branch_address_line1,character varying,6,6,0.0
sys_branches,branch_address_line2,character varying,6,0,100.0
sys_branches,branch_city,character varying,6,6,0.0
sys_branches,branch_postal_code,character varying,6,6,0.0
sys_branches,branch_country_code,character,6,6,0.0
sys_branches,branch_region_code,character varying,6,6,0.0
sys_branches,branch_opening_hours,jsonb,6,6,0.0
sys_branches,branch_regulatory_zone,character varying,6,0,100.0
sys_branches,branch_metadata,jsonb,6,6,0.0
sys_branches,created_at,timestamp with time zone,6,6,0.0
sys_branches,created_by,uuid,6,0,100.0
sys_branches,updated_at,timestamp with time zone,6,6,0.0
sys_branches,updated_by,uuid,6,0,100.0
sys_capability_maturity_scores,capability_maturity_score_id,uuid,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_tenant_id,uuid,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_org_unit_id,uuid,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_capability_ref,character varying,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_level,character varying,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_composite,numeric,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_rubric_version,character varying,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_model_version,character varying,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_payload,jsonb,20,20,0.0
sys_capability_maturity_scores,capability_maturity_score_computed_at,timestamp with time zone,20,20,0.0
sys_capability_maturity_scores,created_at,timestamp with time zone,20,20,0.0
sys_capability_score_lineage,capability_score_lineage_id,uuid,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_tenant_id,uuid,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_parent_type,character varying,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_parent_id,uuid,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_child_type,character varying,316,316,0.0
sys_capability_score_lineage,capability_score_lineage_child_id,uuid,316,316,0.0
