entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:31,name,en,Science and Engineering Associate Professionals,HARVEST
sys_occupation_classifications,ISCO_08:311,name,en,Physical and Engineering Science Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3111,name,en,Chemical and Physical Science Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3112,name,en,Civil Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3113,name,en,Electrical Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3114,name,en,Electronics Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3115,name,en,Mechanical Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3116,name,en,Chemical Engineering Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3117,name,en,Mining and metallurgical technicians,HARVEST
sys_occupation_classifications,ISCO_08:3118,name,en,Draughtspersons,HARVEST
sys_occupation_classifications,ISCO_08:3119,name,en,Physical and Engineering Science Technicians Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:312,name,en,"Mining, Manufacturing and Construction Supervisors",HARVEST
sys_occupation_classifications,ISCO_08:3121,name,en,Mining Supervisors,HARVEST
sys_occupation_classifications,ISCO_08:3122,name,en,Manufacturing Supervisors,HARVEST
sys_occupation_classifications,ISCO_08:3123,name,en,Construction Supervisors,HARVEST
sys_occupation_classifications,ISCO_08:313,name,en,Process Control Technicians,HARVEST
sys_occupation_classifications,ISCO_08:3131,name,en,Power Production Plant Operators,HARVEST
sys_occupation_classifications,ISCO_08:3132,name,en,Incinerator and Water Treatment Plant Operators,HARVEST
sys_occupation_classifications,ISCO_08:3133,name,en,Chemical Processing Plant Controllers,HARVEST
sys_occupation_classifications,ISCO_08:3134,name,en,Petroleum and Natural Gas Refining Plant Operators,HARVEST
sys_occupation_classifications,ISCO_08:3135,name,en,Metal Production Process Controllers,HARVEST
sys_occupation_classifications,ISCO_08:3139,name,en,Process Control Technicians Not Elsewhere Classified,HARVEST
