scheme,code,parent_code,level,name
ISCO_08,3314,331,4,Tecnici statistici e matematici ed assimilati
ISCO_08,3315,331,4,Valutatori di rischio e periti stimatori di danno
ISCO_08,332,33,3,Agenti di vendita e acquisto e mediatori
ISCO_08,3321,332,4,Agenti assicurativi
ISCO_08,3322,332,4,Rappresentanti di commercio
ISCO_08,3323,332,4,Responsabili degli acquisti
ISCO_08,3324,332,4,Mediatori commerciali
ISCO_08,333,33,3,Agenti commerciali
ISCO_08,3331,333,4,Agenti concessionari
ISCO_08,3332,333,4,Organizzatori di conferenze e di eventi
ISCO_08,3333,333,4,Agenti di stesura di contratti di impiego e di reclutamento
ISCO_08,3334,333,4,Agenti immobiliari e amministratori
ISCO_08,3339,333,4,Agenti commerciali non classificati altrove
ISCO_08,334,33,3,Personale di segreteria addetto ad attività amministrative e specializzate
ISCO_08,3341,334,4,Capiufficio
ISCO_08,3342,334,4,Segretari di studi legali
ISCO_08,3343,334,4,Segretari addetti a mansioni amministrative ed esecutive
ISCO_08,3344,334,4,Segretari di studi medici
ISCO_08,335,33,3,Membri di organismi di governo con potestà regolamentare (livello intermedio)
ISCO_08,3351,335,4,Ispettori di dogana e di frontiera
ISCO_08,3352,335,4,Agenti delle tasse e delle imposte
ISCO_08,3353,335,4,Agenti dei servizi pubblici di prestazioni sociali
ISCO_08,3354,335,4,Agenti dei servizi pubblici di permessi e licenze
ISCO_08,3355,335,4,Ispettori di polizia e detective
ISCO_08,3359,335,4,Membri di organismi di governo con potestà regolamentare (livello intermedio) non classificati altrove
ISCO_08,34,3,2,"Professioni intermedie nelle scienze giuridiche, sociali e culturali"
ISCO_08,341,34,3,"Professioni intermedie delle scienze giuridiche, sociali e delle discipline religiose"
ISCO_08,3411,341,4,Tecnici delle scienze giuridiche ed assimilati
ISCO_08,3412,341,4,Tecnici delle scienze sociali
ISCO_08,3413,341,4,Tecnici delle discipline religiose
ISCO_08,342,34,3,Professioni dello sport e del fitness
ISCO_08,3421,342,4,Atleti e sportivi
ISCO_08,3422,342,4,"Allenatori, istruttori e agenti"
ISCO_08,3423,342,4,Istruttori di palestra e preparatori atletici
ISCO_08,343,34,3,"Professioni tecniche artistiche, culturali e culinarie"
ISCO_08,3431,343,4,Fotografi
ISCO_08,3432,343,4,Designer di interni e decoratori
ISCO_08,3433,343,4,"Tecnici delle gallerie, dei musei e delle biblioteche"
ISCO_08,3434,343,4,Chef
ISCO_08,3435,343,4,Altre professioni tecniche dei servizi ricreativi e culturali
ISCO_08,35,3,2,Tecnici dell’informazione e della comunicazione
ISCO_08,351,35,3,Tecnici per la gestione dell’informazione e della comunicazione e per l’assistenza agli utenti
ISCO_08,3511,351,4,Tecnici per la gestione dell’informazione e della comunicazione
ISCO_08,3512,351,4,Tecnici per l’assistenza agli utenti della tecnologia dell’informazione e della comunicazione
ISCO_08,3513,351,4,Tecnici di rete e sistemi informatici
ISCO_08,3514,351,4,Tecnici Web
ISCO_08,352,35,3,Tecnici della trasmissione radiotelevisiva e delle telecomunicazioni
ISCO_08,3521,352,4,Tecnici della trasmissione radiotelevisiva e degli apparati audio-video
ISCO_08,3522,352,4,Tecnici dell’ingegneria delle comunicazioni
ISCO_08,4,,1,Impiegati di ufficio
ISCO_08,41,4,2,Impiegati con compiti generali e operatori su macchine di ufficio
ISCO_08,411,41,3,Personale di ufficio con compiti generali
ISCO_08,4110,411,4,Personale di ufficio con compiti generali
ISCO_08,412,41,3,Personale di segreteria (compiti generali)
ISCO_08,4120,412,4,Personale di segreteria (compiti generali)
ISCO_08,413,41,3,Operatori su macchine di ufficio
ISCO_08,4131,413,4,Dattilografi e operatori di trattamento testi
ISCO_08,4132,413,4,Addetti all’inserimento dati
ISCO_08,42,4,2,Impiegati a contatto diretto con il pubblico
ISCO_08,421,42,3,"Personale addetto allo sportello, cassieri ed assimilati"
ISCO_08,4211,421,4,Addetti allo sportello bancario ed assimilati
ISCO_08,4212,421,4,"Allibratori, croupier ed assimilati"
ISCO_08,4213,421,4,Addetti ad agenzie di pegno e di prestito
ISCO_08,4214,421,4,Esattori di crediti ed assimilati
ISCO_08,422,42,3,Personale addetto all’informazione della clientela
ISCO_08,4221,422,4,Consulenti turistici e operatori
